ticket_id,customer_id,complaint_category,complaint_date,severity
TICKET000069,CUST027984,Mobile App Issues,2025-04-04,8
TICKET000070,CUST093766,Poor Customer Service,2024-12-20,10
TICKET000071,CUST006086,Mobile App Issues,2025-01-24,2
TICKET000072,CUST081319,Delayed Refund,2024-10-26,6
TICKET000073,CUST089539,Account Locked,2024-08-15,4
TICKET000074,CUST026385,Incorrect Charges,2024-05-22,7
TICKET000075,CUST019008,Card Not Working,2025-01-25,4
TICKET000076,CUST087436,ATM Withdrawal Failed,2024-12-28,10
TICKET000077,CUST097226,KYC Verification Delay,2024-09-08,5
TICKET000078,CUST030606,Mobile App Issues,2025-01-10,3
TICKET000079,CUST029520,Loan Application Rejected,2025-01-17,9
TICKET000080,CUST070219,Mobile App Issues,2025-04-05,1
TICKET000081,CUST033363,Mobile App Issues,2025-03-24,4
TICKET000082,CUST090608,Card Not Working,2024-11-21,8
TICKET000083,CUST072051,Poor Customer Service,2025-04-07,7
TICKET000084,CUST039636,ATM Withdrawal Failed,2024-06-24,4
TICKET000085,CUST031658,Mobile App Issues,2024-05-23,7
TICKET000086,CUST074172,ATM Withdrawal Failed,2025-03-20,9
TICKET000087,CUST034231,ATM Withdrawal Failed,2024-11-02,4
TICKET000088,CUST069132,Delayed Refund,2024-07-03,9
TICKET000089,CUST027257,Account Locked,2025-04-05,9
TICKET000090,CUST077592,Account Locked,2025-03-07,7
TICKET000091,CUST036922,Unauthorized Transaction,2024-10-09,10
TICKET000092,CUST043311,ATM Withdrawal Failed,2024-07-04,3
TICKET000093,CUST013903,Delayed Refund,2025-02-26,4
TICKET000094,CUST080884,ATM Withdrawal Failed,2025-03-28,1
TICKET000095,CUST087671,Mobile App Issues,2025-03-21,2
TICKET000096,CUST025169,ATM Withdrawal Failed,2024-06-10,4
TICKET000097,CUST086130,Account Locked,2025-02-19,10
TICKET000098,CUST055801,KYC Verification Delay,2024-10-26,3
TICKET000099,CUST048440,Delayed Refund,2024-12-07,3
TICKET000100,CUST029470,Mobile App Issues,2025-02-24,3
TICKET000101,CUST097366,Unauthorized Transaction,2024-08-14,8
TICKET000102,CUST082815,Account Locked,2024-05-13,10
TICKET000103,CUST028820,Incorrect Charges,2024-10-20,0
TICKET000104,CUST079150,Poor Customer Service,2024-05-24,7
TICKET000105,CUST039668,Mobile App Issues,2025-05-08,5
TICKET000106,CUST088181,ATM Withdrawal Failed,2024-11-26,8
TICKET000107,CUST044288,KYC Verification Delay,2025-03-09,0
TICKET000108,CUST097282,Card Not Working,2025-05-08,9
TICKET000109,CUST045721,Loan Application Rejected,2024-08-24,7
TICKET000110,CUST060777,Card Not Working,2025-04-17,9
TICKET000111,CUST060055,ATM Withdrawal Failed,2025-03-28,1
TICKET000112,CUST039103,Account Locked,2024-12-06,8
TICKET000113,CUST020283,Card Not Working,2024-10-03,3
TICKET000114,CUST042691,Poor Customer Service,2024-05-13,7
TICKET000115,CUST088861,Mobile App Issues,2024-11-19,9
TICKET000116,CUST041469,Incorrect Charges,2025-03-16,10
TICKET000117,CUST044809,Card Not Working,2024-05-14,6
TICKET000118,CUST025442,Delayed Refund,2025-02-21,4
TICKET000119,CUST049783,Unauthorized Transaction,2025-01-06,9
TICKET000120,CUST023930,Incorrect Charges,2024-12-08,1
TICKET000121,CUST000728,Unauthorized Transaction,2024-07-17,9
TICKET000122,CUST012483,Delayed Refund,2025-04-06,1
TICKET000123,CUST028872,Delayed Refund,2025-01-01,9
TICKET000124,CUST038713,Incorrect Charges,2025-01-01,3
TICKET000125,CUST057880,Delayed Refund,2024-07-22,3
TICKET000126,CUST035236,Unauthorized Transaction,2024-08-04,1
TICKET000127,CUST089044,Card Not Working,2025-01-01,3
TICKET000128,CUST084713,Delayed Refund,2024-12-19,4
TICKET000129,CUST012630,Mobile App Issues,2024-08-11,6
TICKET000130,CUST044448,Incorrect Charges,2024-12-01,9
TICKET000131,CUST017738,ATM Withdrawal Failed,2025-01-29,5
TICKET000132,CUST049056,Incorrect Charges,2024-09-30,4
TICKET000133,CUST004795,KYC Verification Delay,2024-05-13,0
TICKET000134,CUST043824,ATM Withdrawal Failed,2024-07-12,5
TICKET000135,CUST005249,Unauthorized Transaction,2024-09-07,5
TICKET000136,CUST025546,Card Not Working,2024-05-16,10
TICKET000137,CUST021975,Poor Customer Service,2024-07-19,8
TICKET000138,CUST061275,Account Locked,2025-03-31,1
TICKET000139,CUST040736,KYC Verification Delay,2025-04-18,1
TICKET000140,CUST006620,Delayed Refund,2024-12-23,8
TICKET000141,CUST060508,Unauthorized Transaction,2024-11-08,8
TICKET000142,CUST004639,Account Locked,2025-04-15,0
TICKET000143,CUST041930,Mobile App Issues,2024-10-24,10
TICKET000144,CUST041326,Poor Customer Service,2024-08-18,2
TICKET000145,CUST048199,Incorrect Charges,2024-10-15,1
TICKET000146,CUST080051,Poor Customer Service,2024-05-30,7
TICKET000147,CUST000498,Incorrect Charges,2024-07-18,7
TICKET000148,CUST037830,Mobile App Issues,2024-07-30,1
TICKET000149,CUST002972,Delayed Refund,2025-02-15,9
TICKET000150,CUST077413,KYC Verification Delay,2024-09-26,2
TICKET000151,CUST050808,Unauthorized Transaction,2025-01-13,6
TICKET000152,CUST018982,Mobile App Issues,2025-03-29,3
TICKET000153,CUST006622,Card Not Working,2024-06-22,9
TICKET000154,CUST001697,Poor Customer Service,2024-08-01,1
TICKET000155,CUST092844,Loan Application Rejected,2024-10-04,8
TICKET000156,CUST095697,ATM Withdrawal Failed,2024-09-15,5
TICKET000157,CUST051915,Loan Application Rejected,2024-10-14,3
TICKET000158,CUST057701,Loan Application Rejected,2024-12-04,1
TICKET000159,CUST025505,Incorrect Charges,2024-12-15,4
TICKET000160,CUST089970,Poor Customer Service,2024-08-19,8
TICKET000161,CUST047782,Loan Application Rejected,2024-10-14,1
TICKET000162,CUST037654,ATM Withdrawal Failed,2025-04-23,4
TICKET000163,CUST060038,Poor Customer Service,2024-07-27,5
TICKET000164,CUST073266,KYC Verification Delay,2024-09-15,4
TICKET000165,CUST058847,KYC Verification Delay,2025-03-05,2
TICKET000166,CUST019968,ATM Withdrawal Failed,2024-10-28,4
TICKET000167,CUST058197,Card Not Working,2024-05-21,1
TICKET000168,CUST079569,Card Not Working,2024-06-01,1
TICKET000169,CUST003410,Delayed Refund,2025-02-11,10
TICKET000170,CUST046001,Unauthorized Transaction,2024-09-23,10
TICKET000171,CUST064765,Loan Application Rejected,2025-03-14,10
TICKET000172,CUST012666,Account Locked,2024-10-19,1
TICKET000173,CUST091990,KYC Verification Delay,2025-03-14,1
TICKET000174,CUST002051,Poor Customer Service,2025-04-05,2
TICKET000175,CUST013803,Loan Application Rejected,2024-08-13,7
TICKET000176,CUST043686,Account Locked,2024-06-16,9
TICKET000177,CUST010104,Card Not Working,2024-10-31,7
TICKET000178,CUST013729,Mobile App Issues,2024-07-18,10
TICKET000179,CUST031219,Mobile App Issues,2025-05-09,7
TICKET000180,CUST047837,Poor Customer Service,2024-11-26,6
TICKET000181,CUST055137,Mobile App Issues,2024-08-27,2
TICKET000182,CUST002630,Loan Application Rejected,2024-09-13,10
TICKET000183,CUST024541,Card Not Working,2024-12-06,3
TICKET000184,CUST018173,Delayed Refund,2024-05-27,8
TICKET000185,CUST029698,ATM Withdrawal Failed,2025-03-10,7
TICKET000186,CUST045112,Delayed Refund,2024-11-07,2
TICKET000187,CUST012658,Loan Application Rejected,2025-05-08,0
TICKET000188,CUST065166,Mobile App Issues,2025-04-23,5
TICKET000189,CUST017067,Loan Application Rejected,2025-04-22,6
TICKET000190,CUST059653,Mobile App Issues,2024-10-08,7
TICKET000191,CUST015479,KYC Verification Delay,2025-04-13,9
TICKET000192,CUST054764,Card Not Working,2024-09-19,3
TICKET000193,CUST042336,Incorrect Charges,2024-07-24,9
TICKET000194,CUST022900,Unauthorized Transaction,2024-11-28,3
TICKET000195,CUST077684,Delayed Refund,2024-12-27,7
TICKET000196,CUST021531,Card Not Working,2024-10-24,10
TICKET000197,CUST071113,ATM Withdrawal Failed,2024-06-08,9
TICKET000198,CUST083506,Loan Application Rejected,2024-08-07,3
TICKET000199,CUST097718,Card Not Working,2024-09-26,5
TICKET000200,CUST006492,KYC Verification Delay,2024-08-21,10
TICKET000201,CUST098924,Incorrect Charges,2024-06-10,8
TICKET000202,CUST084982,Card Not Working,2024-07-05,0
TICKET000203,CUST092088,Poor Customer Service,2025-01-10,7
TICKET000204,CUST071736,Poor Customer Service,2024-07-22,4
TICKET000205,CUST054373,Poor Customer Service,2024-11-24,4
TICKET000206,CUST032596,Account Locked,2024-08-09,9
TICKET000207,CUST010037,Incorrect Charges,2025-05-04,4
TICKET000208,CUST007929,Card Not Working,2024-10-22,6
TICKET000209,CUST066152,Delayed Refund,2024-06-01,6
TICKET000210,CUST021763,Account Locked,2024-06-21,5
TICKET000211,CUST017215,ATM Withdrawal Failed,2024-06-03,5
TICKET000212,CUST099999,Incorrect Charges,2024-07-18,1
TICKET000213,CUST015491,Loan Application Rejected,2025-02-25,0
TICKET000214,CUST033675,ATM Withdrawal Failed,2025-03-19,1
TICKET000215,CUST041932,Delayed Refund,2024-09-12,3
TICKET000216,CUST096713,KYC Verification Delay,2025-02-07,3
TICKET000217,CUST015171,Poor Customer Service,2025-02-01,5
TICKET000218,CUST051465,ATM Withdrawal Failed,2025-04-30,2
TICKET000219,CUST071275,Card Not Working,2024-12-28,8
TICKET000220,CUST040552,Mobile App Issues,2024-06-19,2
TICKET000221,CUST057510,Card Not Working,2024-11-03,9
TICKET000222,CUST069972,Poor Customer Service,2025-02-11,4
TICKET000223,CUST098383,Incorrect Charges,2024-12-21,7
TICKET000224,CUST084009,KYC Verification Delay,2025-03-28,10
TICKET000225,CUST091786,Unauthorized Transaction,2024-06-10,0
TICKET000226,CUST034094,Delayed Refund,2024-12-25,5
TICKET000227,CUST034342,Card Not Working,2024-07-16,1
TICKET000228,CUST061441,Unauthorized Transaction,2024-10-09,6
TICKET000229,CUST089952,KYC Verification Delay,2024-09-24,3
TICKET000230,CUST083509,Card Not Working,2024-10-31,9
TICKET000231,CUST010907,KYC Verification Delay,2025-04-26,3
TICKET000232,CUST050763,Delayed Refund,2024-12-22,5
TICKET000233,CUST026222,KYC Verification Delay,2025-02-14,8
TICKET000234,CUST012477,ATM Withdrawal Failed,2025-04-12,4
TICKET000235,CUST034971,Loan Application Rejected,2025-04-28,7
TICKET000236,CUST012445,ATM Withdrawal Failed,2024-09-23,5
TICKET000237,CUST090990,Card Not Working,2024-12-17,4
TICKET000238,CUST085900,Loan Application Rejected,2024-07-04,5
TICKET000239,CUST066065,ATM Withdrawal Failed,2024-08-29,10
TICKET000240,CUST043397,Loan Application Rejected,2025-04-24,9
TICKET000241,CUST044450,Incorrect Charges,2024-10-02,6
TICKET000242,CUST073368,KYC Verification Delay,2025-05-09,10
TICKET000243,CUST030749,Card Not Working,2024-12-04,3
TICKET000244,CUST064315,Mobile App Issues,2025-03-10,10
TICKET000245,CUST079093,Account Locked,2025-03-20,1
TICKET000246,CUST073711,KYC Verification Delay,2024-10-30,7
TICKET000247,CUST069078,Poor Customer Service,2025-04-30,3
TICKET000248,CUST013217,Card Not Working,2024-08-14,7
TICKET000249,CUST068928,Card Not Working,2025-04-11,2
TICKET000250,CUST005819,Delayed Refund,2024-09-27,8
TICKET000251,CUST060259,Card Not Working,2024-10-01,3
TICKET000252,CUST075355,Loan Application Rejected,2024-11-17,8
TICKET000253,CUST055197,Delayed Refund,2025-03-18,5
TICKET000254,CUST094526,Mobile App Issues,2025-05-04,6
TICKET000255,CUST038612,Unauthorized Transaction,2025-03-04,8
TICKET000256,CUST061110,ATM Withdrawal Failed,2025-01-31,6
TICKET000257,CUST004956,KYC Verification Delay,2024-12-21,5
TICKET000258,CUST030356,Incorrect Charges,2024-09-08,4
TICKET000259,CUST052366,ATM Withdrawal Failed,2024-06-16,5
TICKET000260,CUST083269,ATM Withdrawal Failed,2024-10-27,8
TICKET000261,CUST064261,Mobile App Issues,2024-11-02,2
TICKET000262,CUST091832,ATM Withdrawal Failed,2024-10-01,10
TICKET000263,CUST001415,Card Not Working,2025-03-05,0
TICKET000264,CUST027246,Mobile App Issues,2025-01-04,2
TICKET000265,CUST078937,Poor Customer Service,2025-01-07,6
TICKET000266,CUST029290,Card Not Working,2025-02-21,3
TICKET000267,CUST033205,Card Not Working,2025-03-14,3
TICKET000268,CUST013154,ATM Withdrawal Failed,2024-09-08,3
TICKET000269,CUST066836,Card Not Working,2025-03-16,0
TICKET000270,CUST073321,Incorrect Charges,2024-07-18,9
TICKET000271,CUST028802,Unauthorized Transaction,2024-10-27,0
TICKET000272,CUST012199,Loan Application Rejected,2025-02-28,7
TICKET000273,CUST091353,Poor Customer Service,2025-04-22,6
TICKET000274,CUST063689,Unauthorized Transaction,2024-06-25,7
TICKET000275,CUST025969,Unauthorized Transaction,2025-04-10,1
TICKET000276,CUST070279,Poor Customer Service,2024-05-20,6
TICKET000277,CUST045852,Card Not Working,2025-02-20,1
TICKET000278,CUST006669,KYC Verification Delay,2024-07-21,5
TICKET000279,CUST067690,Loan Application Rejected,2025-02-24,6
TICKET000280,CUST075934,Account Locked,2024-11-14,7
TICKET000281,CUST097357,Poor Customer Service,2024-11-13,1
TICKET000282,CUST015088,Poor Customer Service,2024-06-28,3
TICKET000283,CUST053398,Card Not Working,2025-03-17,0
TICKET000284,CUST081708,Poor Customer Service,2025-04-29,9
TICKET000285,CUST033144,Mobile App Issues,2024-10-20,7
TICKET000286,CUST014611,Incorrect Charges,2025-01-11,7
TICKET000287,CUST011796,Incorrect Charges,2025-04-09,9
TICKET000288,CUST011619,Poor Customer Service,2024-12-09,9
TICKET000289,CUST005448,Poor Customer Service,2025-03-20,8
TICKET000290,CUST033856,KYC Verification Delay,2024-11-04,4
TICKET000291,CUST000465,Account Locked,2024-10-12,10
TICKET000292,CUST052840,Unauthorized Transaction,2024-05-24,8
TICKET000293,CUST081691,KYC Verification Delay,2025-02-08,4
TICKET000294,CUST087232,Poor Customer Service,2024-05-26,5
TICKET000295,CUST061983,Account Locked,2025-04-13,0
TICKET000296,CUST002460,Unauthorized Transaction,2025-02-03,4
TICKET000297,CUST002845,Delayed Refund,2025-03-21,7
TICKET000298,CUST072872,Mobile App Issues,2024-11-05,2
TICKET000299,CUST093031,ATM Withdrawal Failed,2024-07-19,10
TICKET000300,CUST071267,ATM Withdrawal Failed,2024-09-05,9
TICKET000301,CUST055492,Unauthorized Transaction,2025-03-12,10
TICKET000302,CUST065375,Card Not Working,2025-04-28,1
TICKET000303,CUST042319,Loan Application Rejected,2024-11-30,6
TICKET000304,CUST061439,Card Not Working,2025-01-07,4
TICKET000305,CUST022393,Loan Application Rejected,2024-12-20,10
TICKET000306,CUST069841,Delayed Refund,2024-07-18,8
TICKET000307,CUST040643,ATM Withdrawal Failed,2024-09-22,10
TICKET000308,CUST000226,Card Not Working,2024-06-10,0
TICKET000309,CUST056796,KYC Verification Delay,2025-01-07,9
TICKET000310,CUST096819,KYC Verification Delay,2025-02-17,2
TICKET000311,CUST015867,Loan Application Rejected,2024-09-25,10
TICKET000312,CUST053729,Mobile App Issues,2024-12-05,3
TICKET000313,CUST030309,Account Locked,2025-02-26,5
TICKET000314,CUST093981,Mobile App Issues,2024-07-15,7
TICKET000315,CUST020646,Delayed Refund,2025-03-20,7
TICKET000316,CUST028988,Account Locked,2025-02-14,8
TICKET000317,CUST077090,KYC Verification Delay,2024-12-16,10
TICKET000318,CUST067779,Incorrect Charges,2025-01-01,3
TICKET000319,CUST052275,Incorrect Charges,2024-12-04,6
TICKET000320,CUST016069,KYC Verification Delay,2024-05-24,1
TICKET000321,CUST079997,Card Not Working,2024-09-24,2
TICKET000322,CUST056673,KYC Verification Delay,2025-02-11,9
TICKET000323,CUST051140,KYC Verification Delay,2025-03-08,1
TICKET000324,CUST044529,ATM Withdrawal Failed,2024-10-09,2
TICKET000325,CUST085314,Unauthorized Transaction,2024-06-16,5
TICKET000326,CUST046618,Loan Application Rejected,2024-08-08,5
TICKET000327,CUST008986,Card Not Working,2024-09-11,1
TICKET000328,CUST013193,Delayed Refund,2025-02-01,1
TICKET000329,CUST037887,KYC Verification Delay,2024-06-01,4
TICKET000330,CUST027891,Delayed Refund,2024-07-13,0
TICKET000331,CUST049017,Mobile App Issues,2024-08-30,4
TICKET000332,CUST074815,Mobile App Issues,2025-02-27,5
TICKET000333,CUST038872,Incorrect Charges,2024-06-04,10
TICKET000334,CUST038482,Account Locked,2025-04-01,6
TICKET000335,CUST045597,Unauthorized Transaction,2024-06-30,10
TICKET000336,CUST058115,Card Not Working,2025-03-02,1
TICKET000337,CUST012965,Loan Application Rejected,2024-08-27,3
TICKET000338,CUST083277,Incorrect Charges,2025-04-08,6
TICKET000339,CUST057766,KYC Verification Delay,2024-12-12,2
TICKET000340,CUST025952,Poor Customer Service,2025-01-10,8
TICKET000341,CUST031672,Delayed Refund,2024-12-17,0
TICKET000342,CUST017392,Delayed Refund,2024-11-11,3
TICKET000343,CUST066526,Loan Application Rejected,2024-12-31,2
TICKET000344,CUST031755,ATM Withdrawal Failed,2024-08-01,1
TICKET000345,CUST085354,Card Not Working,2024-10-08,1
TICKET000346,CUST099642,Poor Customer Service,2024-10-03,0
TICKET000347,CUST024761,KYC Verification Delay,2025-01-03,3
TICKET000348,CUST003352,Incorrect Charges,2024-07-05,7
TICKET000349,CUST070694,Loan Application Rejected,2024-07-20,4
TICKET000350,CUST033738,Card Not Working,2024-05-13,4
TICKET000351,CUST018365,Poor Customer Service,2025-03-03,6
TICKET000352,CUST025185,Delayed Refund,2025-04-03,7
TICKET000353,CUST096662,Unauthorized Transaction,2024-06-19,9
TICKET000354,CUST060419,Account Locked,2025-01-12,8
TICKET000355,CUST016620,Account Locked,2024-08-03,3
TICKET000356,CUST076794,Incorrect Charges,2024-06-24,8
TICKET000357,CUST010575,Unauthorized Transaction,2024-09-15,9
TICKET000358,CUST054734,ATM Withdrawal Failed,2025-03-08,4
TICKET000359,CUST004680,Card Not Working,2024-05-25,6
TICKET000360,CUST086756,Loan Application Rejected,2024-09-02,10
TICKET000361,CUST001556,Unauthorized Transaction,2025-02-17,3
TICKET000362,CUST003904,KYC Verification Delay,2024-11-22,6
TICKET000363,CUST091223,Card Not Working,2025-04-23,6
TICKET000364,CUST045311,Account Locked,2024-05-27,0
TICKET000365,CUST017662,KYC Verification Delay,2025-04-25,0
TICKET000366,CUST065102,Delayed Refund,2024-06-29,7
TICKET000367,CUST018582,Loan Application Rejected,2024-09-12,9
TICKET000368,CUST018814,ATM Withdrawal Failed,2025-02-12,3
TICKET000369,CUST090233,Unauthorized Transaction,2024-06-05,10
TICKET000370,CUST019932,Account Locked,2024-07-20,7
TICKET000371,CUST016350,Card Not Working,2025-03-18,8
TICKET000372,CUST007122,Card Not Working,2024-08-20,2
TICKET000373,CUST010994,Delayed Refund,2025-01-28,6
TICKET000374,CUST025715,Unauthorized Transaction,2024-10-30,7
TICKET000375,CUST073528,ATM Withdrawal Failed,2025-04-02,1
TICKET000376,CUST048204,Loan Application Rejected,2024-07-23,3
TICKET000377,CUST023197,ATM Withdrawal Failed,2025-01-05,5
TICKET000378,CUST074283,Incorrect Charges,2025-03-12,4
TICKET000379,CUST070147,Poor Customer Service,2025-04-15,2
TICKET000380,CUST093845,Card Not Working,2024-10-15,2
TICKET000381,CUST067310,Incorrect Charges,2024-12-19,3
TICKET000382,CUST038500,Incorrect Charges,2025-04-16,7
TICKET000383,CUST013742,Delayed Refund,2024-10-18,2
TICKET000384,CUST086243,Incorrect Charges,2024-06-27,8
TICKET000385,CUST034536,KYC Verification Delay,2025-04-27,2
TICKET000386,CUST099522,Poor Customer Service,2024-10-05,1
TICKET000387,CUST015516,Loan Application Rejected,2024-12-10,1
TICKET000388,CUST002274,Incorrect Charges,2024-06-06,9
TICKET000389,CUST063554,Account Locked,2024-08-08,4
TICKET000390,CUST072866,Mobile App Issues,2024-08-09,4
TICKET000391,CUST037316,Loan Application Rejected,2024-07-27,1
TICKET000392,CUST051437,Poor Customer Service,2025-01-05,5
TICKET000393,CUST042176,Incorrect Charges,2025-04-21,1
TICKET000394,CUST082457,Account Locked,2025-03-09,3
TICKET000395,CUST016864,KYC Verification Delay,2024-09-27,10
TICKET000396,CUST045296,Mobile App Issues,2024-08-09,1
TICKET000397,CUST082276,Delayed Refund,2025-03-08,1
TICKET000398,CUST081383,Unauthorized Transaction,2024-12-30,4
TICKET000399,CUST071206,KYC Verification Delay,2024-12-31,5
TICKET000400,CUST044519,ATM Withdrawal Failed,2025-03-10,10
TICKET000401,CUST052413,KYC Verification Delay,2025-01-26,1
TICKET000402,CUST005101,Account Locked,2024-11-28,7
TICKET000403,CUST010298,Card Not Working,2024-09-25,4
TICKET000404,CUST081324,Loan Application Rejected,2024-10-26,8
TICKET000405,CUST091829,Incorrect Charges,2024-11-13,8
TICKET000406,CUST048044,Mobile App Issues,2025-03-29,1
TICKET000407,CUST047603,Mobile App Issues,2024-09-23,8
TICKET000408,CUST070235,Account Locked,2024-09-30,2
TICKET000409,CUST044042,Loan Application Rejected,2024-11-27,9
TICKET000410,CUST095831,Delayed Refund,2024-11-11,7
TICKET000411,CUST003508,Account Locked,2024-10-05,9
TICKET000412,CUST023530,Incorrect Charges,2025-03-16,10
TICKET000413,CUST009588,Poor Customer Service,2024-05-14,9
TICKET000414,CUST079151,Account Locked,2024-05-29,4
TICKET000415,CUST098181,Mobile App Issues,2025-03-05,7
TICKET000416,CUST053669,ATM Withdrawal Failed,2025-01-28,1
TICKET000417,CUST071200,KYC Verification Delay,2024-10-25,6
TICKET000418,CUST096972,Account Locked,2024-07-07,1
TICKET000419,CUST071261,Loan Application Rejected,2025-04-25,0
TICKET000420,CUST024752,Mobile App Issues,2024-08-01,6
TICKET000421,CUST007799,ATM Withdrawal Failed,2025-05-07,1
TICKET000422,CUST055867,Poor Customer Service,2024-12-01,0
TICKET000423,CUST011515,ATM Withdrawal Failed,2025-01-19,2
TICKET000424,CUST050483,Account Locked,2024-06-19,1
TICKET000425,CUST004259,Incorrect Charges,2024-12-15,3
TICKET000426,CUST025765,Mobile App Issues,2024-10-21,6
TICKET000427,CUST071465,Loan Application Rejected,2024-07-24,3
TICKET000428,CUST041418,Incorrect Charges,2025-04-11,10
TICKET000429,CUST064027,Unauthorized Transaction,2024-08-18,8
TICKET000430,CUST034308,Loan Application Rejected,2024-06-23,3
TICKET000431,CUST023323,Delayed Refund,2024-06-19,8
TICKET000432,CUST086529,Unauthorized Transaction,2025-03-01,10
TICKET000433,CUST091182,Unauthorized Transaction,2025-02-16,1
TICKET000434,CUST044075,Loan Application Rejected,2024-10-22,3
TICKET000435,CUST039569,Unauthorized Transaction,2025-02-23,7
TICKET000436,CUST087377,Poor Customer Service,2025-04-06,2
TICKET000437,CUST071235,Account Locked,2025-02-23,4
TICKET000438,CUST086689,Incorrect Charges,2024-10-02,7
TICKET000439,CUST038307,Unauthorized Transaction,2024-05-25,0
TICKET000440,CUST069945,Account Locked,2025-05-01,2
TICKET000441,CUST062271,Card Not Working,2025-02-13,4
TICKET000442,CUST035738,Account Locked,2025-03-09,6
TICKET000443,CUST000303,Poor Customer Service,2024-07-30,8
TICKET000444,CUST066221,Delayed Refund,2024-08-09,1
TICKET000445,CUST039972,Unauthorized Transaction,2024-06-09,1
TICKET000446,CUST028482,Incorrect Charges,2025-02-19,8
TICKET000447,CUST045148,Poor Customer Service,2025-05-09,8
